停留所コード,停留所名,URL
02065,猪高小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02065
02070,猪高台,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02070
02080,猪高緑地,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02080
02083,猪高緑地南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02083
02085,一番三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02085
02090,一柳中学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02090
02095,一社,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02095
02105,一州町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02105
02110,一州町南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02110
02113,稲永駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02113
02115,稲永小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02115
02120,稲永新田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02120
02125,稲永町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02125
02135,稲永ふ頭,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02135
02137,稲永スポーツセンター,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02137
02138,稲上町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02138
02140,稲西車庫,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02140
02143,稲葉地公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02143
02145,稲葉地町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02145
02150,稲葉地本通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02150
02155,稲生町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02155
02157,猪子石一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02157
02160,猪子石小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02160
02162,猪子石荘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02162
02165,猪子石中学,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02165
02168,猪之越町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02168
02170,猪子石団地,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02170
02175,猪子石西原,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02175
02180,猪子石原,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02180
02185,茨木町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02185
02190,今池,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02190
02195,鋳物師洞,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02195
02200,杁中,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02200
02205,入場,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02205
02210,入場二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02210
02213,いろは橋西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02213
02215,岩井通一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02215
02220,岩塚石橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02220
02225,岩塚小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02225
02229,岩塚本通三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02229
02230,岩塚本通四丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02230
02235,岩塚本通五丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02235
02236,岩戸町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02236
02238,印場,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02238
02240,印場駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02240
02242,印場東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02242
03000,植田西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03000
03002,植園住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03002
03003,植園町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03003
03005,植田一本松,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03005
03007,植田大久手,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03007
03008,植田北小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03008
03009,植田中央公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03009
03010,植田山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03010
03011,植田本町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03011
03015,植田山住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03015
03020,植田山住宅北,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03020
03025,植田寮,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03025
03030,上野公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03030
03032,浮野町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03032
03034,牛田通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03034
03035,牛立町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03035
03040,牛巻,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03040
03045,牛牧住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03045
03048,歌里町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03048
03050,打越,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03050
03055,内田橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03055
03060,内田橋北,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03060
03065,打出町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03065
03070,打出本町七丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03070
03081,姥子山四丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03081
03083,姥子山西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03083
03085,梅森坂,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03085
03086,姥子山三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03086
03090,梅森坂口,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03090
03095,梅森荘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03095
03096,梅森台一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03096
03097,梅森台三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03097
03098,浦里二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03098
03099,浦里五丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03099
03100,運河事務所前,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03100
03105,運河通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03105
03110,運河通三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03110
04000,江川町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04000
04010,海老山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04010
04015,恵方町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04015
04017,江松,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04017
04020,江向,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04020
04025,猿子橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04025
04030,延珠橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04030
04035,円上,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04035
04040,円頓寺通南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_04040
05000,笈瀬通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05000
05003,応仁町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05003
05005,小碓中橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05005
05010,小碓四丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05010
05015,大秋町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05015
05020,大池町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05020
05025,大井町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05025
05030,大江駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05030
05035,大江町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05035
05037,大金町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05037
05040,大我麻町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05040
05041,大久手池東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05041
05042,大久手池,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05042
05043,扇町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05043
05044,大清水三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05044
05045,大久手,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05045
05046,大清水,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05046
05047,大清水小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05047
05048,大清水西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05048
05049,大清水小学校南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05049
05050,大須,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05050
05052,大須万赤門通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05052
05055,大須観音,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05055
05057,大杉小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05057
05058,大須万松寺通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05058
05059,大須本町通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05059
05060,大曽根,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05060
05065,大曽根駅西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05065
05070,大高駅東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05070
05075,大高駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05075
05079,大高町植松,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05079
05080,大高町大根山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05080
05090,大高町坊主山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05090
05092,大高町丸ノ内,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_05092
