route_id,route_name,系統名,運行区間
,,金山19,神宮東門　ー　ワイルドフラワーガーデン　(ノンステップ)
,,金山19,神宮東門　ー　潮見町南　(ノンステップ)
,,金山19,金山　ー　ワイルドフラワーガーデン　(ノンステップ)
,,金山19,金山　ー　泉楽通四丁目　(ノンステップ)
,,金山20,金山　ー　権野　(ノンステップ)
,,金山21,金山　ー　中川車庫前　(ノンステップ)
,,金山21,金山　ー　地下鉄高畑　(ノンステップ)
,,金山22,地下鉄高畑　ー　中川車庫前　(ノンステップ)
,,金山22,地下鉄高畑　ー　地下鉄高畑　(ノンステップ)
,,金山22,地下鉄高畑　ー　戸田　(ノンステップ)
,,金山22,地下鉄高畑　ー　戸田　(ノンステップ)
,,金山22,金山　ー　中川車庫前　(ノンステップ)
,,金山22,金山　ー　地下鉄高畑　(ノンステップ)
,,金山22,金山　ー　戸田　(ノンステップ)
,,金山23,地下鉄岩塚　ー　戸田荘　(ノンステップ)
,,金山23,金山　ー　岩塚本通四丁目　(ノンステップ)
,,金山23,金山　ー　戸田荘　(ノンステップ)
,,金山25,港区役所　ー　野跡駅　(ノンステップ)
,,金山25,金山　ー　港区役所　(ノンステップ)
,,金山25,金山　ー　野跡駅　(ノンステップ)
,,金山26,御器所通　ー　金山　(ノンステップ)
,,金山26,金山　ー　金山　(ノンステップ)
,,原11,地下鉄原　ー　地下鉄徳重　(ノンステップ)
,,原12,地下鉄原　ー　みどりが丘公園　(ノンステップ)
,,原12,地下鉄原　ー　緑車庫　(ノンステップ)
,,御.金,御器所通　ー　金山　(ノンステップ)
,,港巡回,港区役所　ー　多加良浦　(ノンステップ)
,,高速1,栄　ー　森の里団地　(ノンステップ)
,,高畑12,地下鉄高畑　ー　多加良浦　(ノンステップ)
,,高畑13,八田駅　ー　港区役所　(ノンステップ)
,,高畑13,八田駅　ー　野跡駅　(ノンステップ)
,,高畑13,地下鉄高畑　ー　野跡駅　(ノンステップ)
,,高畑14,地下鉄高畑　ー　南陽交通広場　(ノンステップ)
,,高畑15,八田駅　ー　南陽交通広場　(ノンステップ)
,,高畑15,八田駅　ー　権野　(ノンステップ)
,,高畑16,地下鉄高畑　ー　河合小橋　(ノンステップ)
,,高畑17,地下鉄高畑　ー　戸田荘　(ノンステップ)
,,高畑18,港区役所　ー　地下鉄高畑　(ノンステップ)
,,高畑18,港区役所　ー　港区役所　(ノンステップ)
,,黒川11,黒川　ー　中切町　(ノンステップ)
,,黒川11,黒川　ー　北部市場　(ノンステップ)
,,黒川11,黒川　ー　如意車庫前　(ノンステップ)
,,黒川12,中切町　ー　博物館　(ノンステップ)
,,黒川14,黒川　ー　安井町西　(ノンステップ)
,,山田巡回,如意車庫前　ー　平田住宅　(ノンステップ)
,,志段味巡回,東谷山フルーツパーク　ー　小幡　(ノンステップ)
,,守山11,新守山駅　ー　上飯田　(ノンステップ)
,,守山11,新守山駅　ー　上飯田　(ノンステップ)
,,守山11,新守山駅　ー　小幡　(ノンステップ)
,,守山11,新守山駅　ー　緑ケ丘住宅　(ノンステップ)
,,守山巡回,新守山駅　ー　上飯田　(ノンステップ)
,,守山巡回,新守山駅　ー　上飯田　(ノンステップ)
,,春田11,春田駅　ー　南陽交通広場　(ノンステップ)
,,春田11,春田駅　ー　南陽交通広場　(ノンステップ)
,,春田11,春田駅　ー　南陽交通広場　(ノンステップ)
,,小田11,上小田井駅　ー　大我麻町　(ノンステップ)
,,小田11,上小田井駅　ー　如意住宅　(ノンステップ)
,,小田11,上小田井駅　ー　如意車庫前　(ノンステップ)
,,小田12,平田住宅　ー　上小田井駅　(ノンステップ)
,,小田12,平田住宅　ー　平田住宅　(ノンステップ)
,,小幡11,大森車庫　ー　新守山駅　(ノンステップ)
,,小幡11,本地住宅　ー　大森車庫　(ノンステップ)
,,小幡11,本地住宅　ー　新守山駅　(ノンステップ)
,,昭和巡回,御器所通　ー　名古屋大学　(ノンステップ)
