stop_id,stop_name,trip001,trip002,trip003,trip004,trip005,trip006,trip007
,鳴尾車庫,6:00,6:08,6:15,,,,
,上浜,,,,,,,
,星崎小学校,,,,,,,
,星崎,,,,,,,
,本星崎町,,,,,,,
,南区役所(6番),,,,,,,
,千竃通五丁目,,,,,,,
,千竃通二丁目,,,,,,,
,呼続大橋,,,,,,,
,地下鉄堀田(4番),,,,,,,
,名鉄堀田(北),,,,,,,
,牛巻(北),,,,,,,
,堀田通五丁目,,,,,,,
,雁道,,,,,,,
,高辻(6番),,,,,,,
,高辻(5番),,,,,,,
,円上,,,,,,,
,東郊通三丁目,,,,,,,
,鶴舞公園前(5番),,,,,,,
,丸田町,,,,,,,
,矢場町(6番),,,,,,,
,栄(降車),,,,,,,
